emerald,crown,sapphire,emerald,ruby
amber,amber,amber,shield,amber
crown,ruby,amber,amber,ruby
amber,emerald,amber,sword,ruby
shield,sapphire,dragon,sword,amber
shield,crown,emerald,emerald,dragon
emerald,sword,crown,shield,sapphire
sword,crown,sword,ruby,amber
amber,sword,sapphire,shield,shield
sword,sword,sapphire,ruby,amber
amber,amber,sapphire,amber,sapphire
shield,amber,amber,sapphire,shield
amber,sapphire,amber,ruby,sapphire
ruby,crown,shield,emerald,amber
crown,dragon,amber,sapphire,amber
shield,sapphire,ruby,emerald,shield
sapphire,amber,amber,amber,amber
amber,dragon,amber,crown,shield
shield,amber,sapphire,crown,shield
sword,sapphire,sword,sword,emerald
emerald,amber,ruby,dragon,crown
amber,shield,shield,shield,dragon
sapphire,amber,crown,sapphire,amber
sapphire,ruby,sword,sapphire,sapphire
sapphire,emerald,ruby,amber,ruby
sapphire,sapphire,sapphire,emerald,amber
sword,amber,sword,emerald,emerald
amber,crown,amber,emerald,sapphire
sword,shield,ruby,crown,shield
crown,shield,amber,dragon,dragon
emerald,ruby,dragon,sapphire,amber
emerald,amber,amber,emerald,shield
sword,sword,sword,ruby,crown
crown,shield,amber,amber,sword
dragon,amber,dragon,ruby,sword
ruby,amber,ruby,emerald,emerald
emerald,sword,ruby,emerald,emerald
crown,crown,emerald,sword,ruby
sapphire,amber,amber,amber,amber
dragon,ruby,amber,shield,amber
emerald,dragon,shield,amber,amber
amber,wild,crown,emerald,sapphire
amber,emerald,sapphire,crown,amber
shield,amber,shield,amber,sapphire
emerald,sword,amber,dragon,sword
sapphire,amber,emerald,sword,sword
shield,sapphire,ruby,shield,dragon
emerald,crown,sapphire,sword,shield
ruby,amber,dragon,amber,amber
emerald,shield,sapphire,dragon,sword
sword,sword,wild,sapphire,amber
sapphire,sapphire,ruby,dragon,amber
sword,shield,dragon,sapphire,emerald
ruby,dragon,sword,sword,crown
amber,sword,sword,amber,amber
amber,ruby,sapphire,dragon,amber
emerald,sapphire,shield,shield,sword
shield,amber,sapphire,sword,sapphire
shield,emerald,sapphire,crown,wild
amber,sword,emerald,amber,sapphire
emerald,amber,sapphire,crown,shield
emerald,dragon,sapphire,sword,amber
shield,amber,amber,sword,dragon
sapphire,emerald,sapphire,amber,amber
emerald,emerald,shield,wild,dragon
sapphire,amber,sapphire,dragon,crown
sapphire,amber,sapphire,amber,shield
amber,ruby,emerald,shield,amber
dragon,dragon,amber,amber,emerald
amber,shield,sword,ruby,ruby
amber,amber,amber,ruby,amber
sword,shield,amber,ruby,dragon
amber,amber,sapphire,sapphire,amber
wild,sapphire,sapphire,emerald,shield
sapphire,amber,shield,amber,amber
emerald,dragon,emerald,ruby,amber
sapphire,amber,emerald,emerald,amber
dragon,shield,amber,amber,shield
ruby,amber,dragon,amber,shield
crown,shield,dragon,crown,sword
scatter,sapphire,scatter,emerald,scatter
amber,shield,crown,amber,amber
emerald,shield,crown,sapphire,emerald
shield,amber,ruby,sword,dragon
emerald,emerald,crown,emerald,dragon
amber,shield,crown,crown,crown
amber,emerald,ruby,sword,amber
amber,ruby,shield,emerald,sapphire
dragon,dragon,amber,amber,sapphire
crown,crown,amber,amber,sapphire
amber,sapphire,emerald,amber,sword
amber,wild,emerald,crown,dragon
emerald,ruby,amber,emerald,emerald
dragon,dragon,sapphire,emerald,amber
dragon,shield,sapphire,ruby,amber
amber,amber,sapphire,sapphire,emerald
crown,shield,sapphire,amber,amber
amber,amber,emerald,crown,shield
emerald,sapphire,crown,ruby,amber
amber,shield,sword,emerald,amber
amber,dragon,shield,sapphire,sword
emerald,amber,sapphire,emerald,sapphire
shield,emerald,amber,amber,ruby
ruby,shield,dragon,emerald,ruby
crown,amber,sapphire,dragon,amber
emerald,emerald,ruby,ruby,sapphire
ruby,amber,amber,emerald,ruby
dragon,amber,sapphire,sword,amber
sword,sapphire,amber,ruby,shield
amber,ruby,sapphire,amber,sapphire
crown,crown,shield,sapphire,amber
dragon,amber,amber,dragon,shield
emerald,amber,crown,amber,sword
sword,sapphire,emerald,emerald,sword
sapphire,amber,wild,ruby,dragon
crown,shield,shield,shield,amber
emerald,dragon,emerald,crown,sword
sword,dragon,amber,shield,amber
amber,amber,amber,dragon,dragon
crown,emerald,amber,ruby,emerald
amber,sword,amber,ruby,shield
crown,amber,dragon,shield,crown
emerald,sapphire,amber,crown,emerald
emerald,sapphire,amber,shield,amber
emerald,amber,shield,emerald,dragon
ruby,sapphire,amber,crown,amber
emerald,sapphire,crown,ruby,crown
scatter,sapphire,scatter,emerald,scatter
emerald,ruby,amber,shield,ruby
ruby,sword,amber,amber,sapphire
amber,crown,dragon,sapphire,sapphire
crown,ruby,sapphire,shield,amber
